Rk,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,Year,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
105,NBA,2,45,MIN,Nick Calathes\calatni01,20.143,G,us,Florida,2014,2015,2009,129,15.6,4.6,1.9,2.7,1,0.1,0.441,0.476,0.288,0.581,2.6,0.063
106,NBA,2,46,CLE,Danny Green\greenda02,22.009,G-F,us,UNC,2010,2021,2009,731,25.6,8.9,3.5,1.6,1,0.8,0.422,0.462,0.4,0.802,44.9,0.115
107,NBA,2,47,MIN,Henk Norel\norelhe01,21.287,F-C,nl,,,,2009,,,,,,,,,,,,,
108,NBA,2,48,PHO,Taylor Griffin\griffta01,23.074,F,us,Oklahoma,2010,2010,2009,8,4,1.3,0.3,0.1,0,0.3,0.4,0.5,0,0.5,0,-0.039
109,NBA,2,49,ATL,Sergiy Gladyr\gladyse01,19.256,G,ua,,,,2009,,,,,,,,,,,,,
110,NBA,2,50,UTA,Goran Suton,,,,Michigan State,,,2009,,,,,,,,,,,,,
111,NBA,2,51,SAS,Jack McClinton,,,,Miami (FL),,,2009,,,,,,,,,,,,,
112,NBA,2,52,IND,A.J. Price\priceaj01,22.267,G,us,UConn,2010,2015,2009,261,15.1,5.8,1.4,2.2,0.5,0,0.38,0.439,0.316,0.742,4.7,0.058
113,NBA,2,53,SAS,Nando De Colo\decolna01,22.008,G,fr,,2013,2014,2009,119,11.9,3.8,1.8,1.7,0.5,0.1,0.429,0.463,0.363,0.835,2.4,0.081
114,NBA,2,54,CHA,Robert Vaden,,,,UAB,,,2009,,,,,,,,,,,,,
115,NBA,2,55,POR,Patty Mills\millspa02,20.323,G,au,Saint Mary's,2010,2021,2009,709,19.7,9,1.7,2.3,0.7,0.1,0.431,0.485,0.39,0.856,32.3,0.111
116,NBA,2,56,DAL,Ahmad Nivins,,,,Saint Joseph's,,,2009,,,,,,,,,,,,,
